# CMD: bash -lc docker compose logs --since=8h api | tail -n 2000
api-1  | INFO:     172.18.0.1:47516 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:47492 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43018 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43050 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43034 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:43016 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46800 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46822 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46814 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:46794 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54448 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54462 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54458 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:54440 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41722 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41738 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41712 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:41742 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:49570 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55840 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55846 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55850 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
