# CMD: bash -lc docker compose logs --since=8h api | tail -n 2000
api-1  | INFO:     Started server process [1]
api-1  | INFO:     172.18.0.1:50868 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:42322 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:42326 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:42338 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:42306 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56998 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57018 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:57010 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56994 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55956 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55972 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55954 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:55986 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35132 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35138 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35144 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:35120 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60184 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60214 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60198 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:60176 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56754 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56780 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56764 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:56748 - "GET /analytics/summary HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50860 - "GET /system/health HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50108 - "GET /signals?limit=10&offset=0 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50122 - "GET /intelligence/events?limit=10 HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50096 - "GET /positions HTTP/1.1" 200 OK
api-1  | INFO:     172.18.0.1:50082 - "GET /analytics/summary HTTP/1.1" 200 OK
